FIPS,Countyname,Postal,LineCode,IndustryName,2012,2013,2014,2015
36115,Washington,NY,4,  Government and government enterprises,420547,412854,401947,381769
36117,Wayne,NY,1,All Industries,3058482,3190219,3007110,2995561
36117,Wayne,NY,2,  Private goods-producing industries,922389,970608,967064,967418
36117,Wayne,NY,3,  Private services-providing industries,1505960,1559210,1504033,1512141
36117,Wayne,NY,4,  Government and government enterprises,630133,660410,537910,518195
36119,Westchester,NY,1,All Industries,67308615,67530692,68448396,70303494
36119,Westchester,NY,2,  Private goods-producing industries,5978492,6162323,6132859,6343087
36119,Westchester,NY,3,  Private services-providing industries,53811897,53728518,54705071,56664336
36119,Westchester,NY,4,  Government and government enterprises,7518226,7639506,7612508,7310987
36121,Wyoming,NY,1,All Industries,1364490,1390018,1445958,1435346
36121,Wyoming,NY,2,  Private goods-producing industries,372537,394584,405452,399963
36121,Wyoming,NY,3,  Private services-providing industries,612744,621671,670544,684041
36121,Wyoming,NY,4,  Government and government enterprises,379209,373879,370165,351571
36123,Yates,NY,1,All Industries,568869,594137,595688,588672
36123,Yates,NY,2,  Private goods-producing industries,172057,186234,,189957
36123,Yates,NY,3,  Private services-providing industries,310228,321796,,310764
36123,Yates,NY,4,  Government and government enterprises,86584,86124,92210,88180
