STATION,NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-05,0,0,,85,70
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-06,0,0,,77,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-07,1.78,0,,80,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-08,0,0,,84,69
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-09,0,0,,81,67
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-10,0,0,,84,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-11,0,0,,85,75
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-12,0,0,,88,77
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-13,0,0,,90,73
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-14,0.35,0,,73,65
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-15,0,0,,84,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-16,0,0,,87,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-17,0,0,,85,73
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-18,0,0,,88,73
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-19,0,0,,92,77
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-20,0.01,0,,94,77
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-21,0,0,,92,76
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-22,0.57,0,,92,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-23,0.06,0,,79,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-24,0.74,0,,73,63
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-25,0,0,,71,62
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-26,0,0,,77,65
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-27,0,0,,78,65
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-28,0,0,,85,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-29,0,0,,77,67
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-30,0,0,,82,64
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-07-31,0,0,,88,66
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-01,0,0,,92,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-02,0.09,0,,86,69
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-03,0,0,,87,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-04,0.15,0,,84,69
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-05,0.3,0,,78,69
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-06,0,0,,76,64
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-07,0.76,0,,71,64
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-08,0,0,,78,65
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-09,0,0,,85,64
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-10,0,0,,83,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-11,0,0,,82,69
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-12,0.11,0,,77,64
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-13,0,0,,83,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-14,0,0,,80,70
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-15,0.45,0,,74,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-16,0,0,,87,70
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-17,0,0,,83,69
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-18,0.88,0,,82,73
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-19,0,0,,86,73
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-20,0,0,,81,69
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-21,0,0,,87,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-22,0.3,0,,89,72
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-23,0,0,,81,70
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-24,0,0,,80,65
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-25,0,0,,78,63
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-26,0,0,,78,62
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-27,0,0,,78,63
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-28,0,0,,76,63
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-29,0.29,0,,68,61
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-30,0.01,0,,78,60
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-08-31,0,0,,81,64
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-01,0,0,,71,55
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-02,0.53,0,,68,54
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-03,0.74,0,,69,59
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-04,0,0,,80,61
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-05,0,0,,85,69
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-06,0.42,0,,72,61
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-07,0.01,0,,71,59
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-08,0,0,,71,58
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-09,0,0,,70,55
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-10,0,0,,72,57
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-11,0,0,,76,55
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-12,0,0,,78,59
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-13,0.06,0,,83,64
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-14,0.02,0,,81,70
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-15,0,0,,81,67
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-16,0,0,,82,70
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-17,0,0,,81,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-18,0,0,,73,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-19,0.22,0,,78,69
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-20,0,0,,79,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-21,0,0,,80,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-22,0,0,,82,66
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-23,0,0,,87,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-24,0,0,,91,69
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-25,0,0,,88,70
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-26,0,0,,84,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-27,0,0,,87,69
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-28,0,0,,79,59
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-29,0,0,,68,55
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-09-30,0,0,,66,54
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-01,0,0,,68,50
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-02,0,0,,73,52
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-03,0,0,,71,57
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-04,0,0,,75,56
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-05,0,0,,83,65
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-06,0,0,,82,68
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-07,0,0,,81,66
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-08,0.22,0,,77,72
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-09,0.26,0,,77,71
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-10,0,0,,81,66
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-11,0.06,0,,77,60
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-12,0.07,0,,64,55
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-13,0,0,,67,52
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-14,0.08,0,,72,61
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-15,0,0,,74,65
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-16,0.01,0,,69,46
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-17,0,0,,58,42
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-18,0,0,,72,50
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-19,0,0,,71,56
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-20,0,0,,73,57
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-21,0,0,,78,56
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-22,0,0,,76,57
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-23,0,0,,74,61
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-24,0.2,0,,74,67
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-25,0,0,,67,57
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-26,0,0,,58,50
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-27,0,0,,62,47
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-28,0,0,,69,55
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-29,3.03,0,,67,60
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-30,0.25,0,,61,46
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-10-31,0,0,,57,45
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-01,0,0,,59,43
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-02,0,0,,72,58
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-03,0,0,,74,51
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-04,0,0,,56,46
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-05,0.02,0,,61,51
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-06,0.01,0,,66,46
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-07,0.7,0,,49,40
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-08,0,0,,49,39
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-09,0,0,,55,39
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-10,0.01,0,,51,25
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-11,0,0,,38,24
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-12,0,0,,46,32
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-13,0.07,0,,47,39
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-14,0,0,,48,35
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-15,0,0,,51,37
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-16,0.2,0,,57,43
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-17,0,0,,47,37
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-18,0.1,0,,56,34
USW00094728,"NY CITY CENTRAL PARK, NY US",2017-11-19,0.23,0,,59,38
